gamma,alpha,beta,qbar,Mach,tas,eas,gndtrack,pratio,tratio,Vn,Ve,Vd,Ax,Ay,Az,NoseWheelDown,LeftMainDown,RightMainDown
-2.72751051963569,2.72806153942358,-9.61710572198753e-06,33.8550412279474,0.155350689498981,102.230384255718,100.000009617106,179.999990382894,0.946974146034012,0.989687363270809,-102.114571716104,1.71399470658096e-05,4.86474134031499,7.16231985767756e-06,-6.35880867024149e-05,-0.999948482721547,0,0,0
-2.72751324238205,2.72806150711312,-9.61581486656934e-06,33.8550823167495,0.155350667350516,102.230384257054,100.000070300526,179.999987497809,0.946975565368874,0.98968764549769,-102.11457148626,2.22818489351317e-05,4.86474619295374,7.19961109908515e-06,-6.35878989811229e-05,-0.999949688044439,0,0,0
-2.72751590110299,2.72806141107311,-9.61194728683409e-06,33.8551234073701,0.155350645206029,102.230384261016,100.000130986594,179.999984615301,0.946976984706864,0.98968792772485,-102.114571264476,2.74191565997362e-05,4.8647509316091,7.23530265194314e-06,-6.35878725119315e-05,-0.999950874557855,0,0,0
-2.72751849679319,2.72806125268482,-9.60551285634106e-06,33.8551644997636,0.155350623065419,102.230384267538,100.000191675245,179.999981735362,0.946978404047948,0.989688209952283,-102.114571050599,3.25518851358637e-05,4.8647555580506,7.26943108554864e-06,-6.35880056682271e-05,-0.999952042752984,0,0,0
-2.72752103042054,2.7280610333983,-9.59652523519247e-06,33.8552055938851,0.155350600928586,102.230384276552,100.00025236641,179.999978857985,0.946979823392093,0.989688492179983,-102.114570844481,3.76800499264479e-05,4.86476007400012,7.30203461027558e-06,-6.35882966174715e-05,-0.999953193138035,0,0,0
-2.72752350292535,2.72806075472684,-9.58500176238844e-06,33.8552466896899,0.15535057879543,102.230384287993,100.000313060025,179.999975983159,0.946981242739268,0.989688774407942,-102.114570645976,4.28036658680778e-05,4.86476448113035,7.33315294251004e-06,-6.35887433282358e-05,-0.999954326236598,0,0,0
-2.72752591521955,2.72806041824172,-9.57096334603221e-06,33.8552877871336,0.155350556665851,102.230384301795,100.000373756023,179.999973110878,0.946982662089442,0.989689056636155,-102.114570454942,4.79227474832054e-05,4.86476878106342,7.36282717038521e-06,-6.35893435777657e-05,-0.999955442586049,0,0,0
-2.72752826818595,2.72806002556695,-9.55443435156528e-06,33.855328886172,0.155350534539751,102.230384317893,100.00043445434,179.999970241132,0.946984081442584,0.989689338864616,-102.114570271237,5.303730921235e-05,4.86477297536964,7.39109962292308e-06,-6.35900949591738e-05,-0.999956542735976,0,0,0
-2.72753056267771,2.7280595783741,-9.53544248820294e-06,33.8553699867612,0.155350512417031,102.230384336222,100.00049515491,179.999967373915,0.946985500798661,0.989689621093318,-102.114570094725,5.81473653424299e-05,4.86477706556641,7.4180137415522e-06,-6.35909948888008e-05,-0.999957627246652,0,0,0
-2.72753279951775,2.7280590783773,-9.51401869374038e-06,33.8554110888572,0.155350490297593,102.230384356716,100.000555857668,179.999964509218,0.946986920157645,0.989689903322255,-102.114569925271,6.32529295715195e-05,4.86478105311729,7.44361395431697e-06,-6.35920406139168e-05,-0.999958696687536,0,0,0
-2.72753497949831,2.72805852732824,-9.49019701789771e-06,33.8554521924165,0.155350468181339,102.230384379311,100.000616562551,179.999961647034,0.946988339519507,0.989690185551422,-102.114569762743,6.83540152986756e-05,4.86478493943118,7.4679455524169e-06,-6.35932292199156e-05,-0.999959751635821,0,0,0
-2.7275371033806,2.72805792701143,-9.46401450436943e-06,33.8554932973953,0.155350446068172,102.230384403943,100.000677269494,179.999958787356,0.946989758884216,0.989690467780813,-102.114569607012,7.34506355507689e-05,4.86478872586164,7.49105457091379e-06,-6.35945576381423e-05,-0.999960792675014,0,0,0
-2.72753917189449,2.72805727923943,-9.4355110717467e-06,33.8555344037499,0.155350423957993,102.230384430546,100.000737978431,179.999955930176,0.946991178251743,0.989690750010421,-102.114569457951,7.85428034535659e-05,4.86479241370638,7.51298767120764e-06,-6.35960226533243e-05,-0.999961820393565,0,0,0
-2.72754118573826,2.72805658584832,-9.4047293934678e-06,33.8555755114367,0.155350401850705,102.230384459057,100.000798689299,179.999953075487,0.946992597622059,0.989691032240242,-102.114569315436,8.36305308892283e-05,4.86479600420685,7.5337920274958e-06,-6.35976209111789e-05,-0.999962835383535,0,0,0
-2.72754314557848,2.72805584869321,-9.37171477695312e-06,33.8556166204119,0.15535037974621,102.230384489409,100.000859402033,179.999950223283,0.946994016995138,0.989691314470269,-102.114569179346,8.87138300566801e-05,4.86479949854794,7.55351521656195e-06,-6.35993489260525e-05,-0.999963838239305,0,0,0
-2.72754505204989,2.72805506964396,-9.3365150420944e-06,33.8556577306317,0.155350357644409,102.230384521539,100.000920116569,179.999947373557,0.946995436370951,0.989691596700498,-102.114569049563,9.37927123119746e-05,4.86480289785781,7.57220511061017e-06,-6.36012030884554e-05,-0.999964829556333,0,0,0
-2.7275469057554,2.72805425058095,-9.29918039923262e-06,33.8556988420521,0.155350335545203,102.230384555381,100.00098083284,179.999944526303,0.946996855749469,0.989691878930922,-102.114568925969,9.88671888236756e-05,4.86480620320788,7.58990977362101e-06,-6.36031796727398e-05,-0.999965809929955,0,0,0
-2.7275487072661,2.72805339339111,-9.25976332678892e-06,33.8557399546289,0.155350313448494,102.230384590869,100.001041550783,179.999941681515,0.946998275130666,0.989692161161536,-102.114568808451,0.000103937270141248,4.86480941561288,7.60667736191393e-06,-6.3605274844559e-05,-0.999966779954234,0,0,0
-2.72755045712142,2.72805249996391,-9.21831844868639e-06,33.8557810683177,0.155350291354183,102.230384627938,100.001102270331,179.999938839188,0.946999694514517,0.989692443392335,-102.114568696898,0.000109002966309204,4.86481253603101,7.62255602724737e-06,-6.360748466844e-05,-0.999967740220848,0,0,0
-2.72755215582918,2.72805157218769,-9.17490241171777e-06,33.8558221830741,0.155350269262167,102.230384666521,100.001162991418,179.999935999316,0.947001113900993,0.989692725623313,-102.1145685912,0.000114064287164464,4.86481556536424,7.63759382423284e-06,-6.36098051153521e-05,-0.999968691318031,0,0,0
-2.72755380386592,2.728050611946,-9.12957376298376e-06,33.855863298853,0.155350247172348,102.230384706552,100.00122371398,179.999933161893,0.947002533290067,0.989693007854466,-102.11456849125,0.000119121241910167,4.86481850445869,7.65183862164006e-06,-6.36122320701239e-05,-0.999969633829561,0,0,0
-2.7275554016771,2.72804962111415,-9.08239282756256e-06,33.8559044156093,0.155350225084624,102.230384747964,100.001284437947,179.999930326916,0.947003952681713,0.989693290085788,-102.114568396944,0.000124173838873135,4.86482135410505,7.66533801684732e-06,-6.3614761338819e-05,-0.999970568333792,0,0,0
-2.72755694967741,2.72804860155584,-9.03342158651761e-06,33.8559455332977,0.155350202998892,102.23038479069,100.001345163255,179.999927494379,0.947005372075907,0.989693572317273,-102.114568308178,0.000129222086714894,4.86482411503923,7.67813925412901e-06,-6.36173886561404e-05,-0.999971495402734,0,0,0
-2.72755844825117,2.72804755512004,-8.98272355540326e-06,33.8559866518722,0.155350180915049,102.230384834661,100.001405889834,179.999924664278,0.947006791472622,0.989693854548918,-102.114568224853,0.000134265993105868,4.86482678794292,7.6902891476186e-06,-6.36201096926766e-05,-0.999972415601179,0,0,0
-2.72755989775272,2.72804648363796,-8.9303636633764e-06,33.8560277712867,0.155350158832992,102.230384879808,100.001466617617,179.999921836609,0.947008210871832,0.989694136780716,-102.114568146869,0.000139305564853537,4.86482937344437,7.70183400664015e-06,-6.36229200622488e-05,-0.999973329485879,0,0,0
-2.72756129850687,2.72804538892012,-8.87640813304667e-06,33.8560688914946,0.155350136752616,102.230384926064,100.001527346534,179.999919011368,0.947009630273512,0.989694419012662,-102.114568074131,0.00014434080912194,4.86483187211918,7.71281956593818e-06,-6.36258153288688e-05,-0.999974237604766,0,0,0
-2.72756265080939,2.72804427275368,-8.82092436118962e-06,33.8561100124491,0.155350114673815,102.230384973356,100.001588076518,179.999916188552,0.947011049677636,0.989694701244752,-102.114568006543,0.000149371731933507,4.86483428449116,7.72329091906815e-06,-6.36287910139135e-05,-0.999975140496216,0,0,0
-2.72756395492756,2.72804313689983,-8.7639808004341e-06,33.8561511341026,0.155350092596482,102.230385021617,100.001648807497,179.999913368157,0.94701246908418,0.989694983476981,-102.114567944011,0.000154398338850919,4.86483661103332,7.73329245584716e-06,-6.3631842603118e-05,-0.99997603868837,0,0,0
-2.72756521110071,2.72804198309137,-8.70564684204591e-06,33.8561922564075,0.155350070520511,102.230385070773,100.001709539401,179.999910550182,0.947013888493119,0.989695265709343,-102.114567886446,0.000159420635118319,4.86483885216881,7.74286780342654e-06,-6.36349655533092e-05,-0.999976932698493,0,0,0
-2.72756641954082,2.72804081303042,-8.64599269991325e-06,33.8562333793154,0.155350048445791,102.230385120754,100.001770272158,179.999907734622,0.947015307904428,0.989695547941834,-102.114567833757,0.000164438625624777,4.86484100827203,7.75205977118633e-06,-6.36381552993935e-05,-0.999977823032371,0,0,0
-2.72756758043319,2.72803962838628,-8.58508929584631e-06,33.8562745027776,0.155350026372214,102.230385171487,100.001831005698,179.999904921475,0.947016727318081,0.989695830174449,-102.114567785855,0.000169452314327383,4.86484307966976,7.7609102988211e-06,-6.36414072608274e-05,-0.999978710183773,0,0,0
-2.72756869393703,2.72803843079346,-8.52300814629275e-06,33.8563156267449,0.155350004299669,102.230385222899,100.001891739946,179.999902110741,0.947018146734055,0.989696112407183,-102.114567742656,0.000174461705129422,4.86484506664228,7.76946040916263e-06,-6.36447168482409e-05,-0.999979594633936,0,0,0
-2.72756976018621,2.7280372218498,-8.45982125057081e-06,33.8563567511677,0.155349982228043,102.230385274915,100.001952474831,179.999899302416,0.947019566152324,0.98969639464003,-102.114567704072,0.000179466800948686,4.86484696942464,7.77775016317119e-06,-6.36480794699442e-05,-0.999980476851111,0,0,0
-2.72757077928991,2.72803600311476,-8.39560098072061e-06,33.8563978759957,0.155349960157224,102.230385327462,100.002013210277,179.9998964965,0.947020985572864,0.989696676872986,-102.11456767002,0.000184467604603905,4.86484878820789,7.78581861954845e-06,-6.36514905380062e-05,-0.999981357290135,0,0,0
-2.72757175133338,2.72803477610788,-8.33041997305999e-06,33.8564390011783,0.155349938087097,102.230385380463,100.002073946209,179.99989369299,0.947022404995652,0.989696959106047,-102.114567640418,0.000189464118254347,4.86485052314038,7.79370379755698e-06,-6.36549454748063e-05,-0.999982236392063,0,0,0
-2.72757267637869,2.72803354230732,-8.26435102154383e-06,33.8564801266642,0.155349916017547,102.230385433843,100.002134682553,179.999890891887,0.947023824420662,0.989697241339207,-102.114567615185,0.000194456343750786,4.86485217432909,7.80144264303112e-06,-6.36584397187765e-05,-0.999983114583821,0,0,0
-2.72757355446548,2.72803230314859,-8.19746697301033e-06,33.8565212524019,0.155349893948457,102.230385487524,100.002195419232,179.999888093189,0.94702524384787,0.989697523572462,-102.114567594239,0.000199444282265431,4.864853741841,7.80907099769446e-06,-6.36619687303868e-05,-0.999983992277918,0,0,0
-2.72757438561172,2.72803106002333,-8.12984062439379e-06,33.856562378339,0.155349871879709,102.230385541429,100.002256156168,179.999885296896,0.94702666327725,0.989697805805806,-102.114567577503,0.000204427934470634,4.86485522570446,7.81662357245296e-06,-6.36655279980847e-05,-0.999984869872185,0,0,0
-2.72757516981456,2.72802981427835,-8.06154462199462e-06,33.8566035044228,0.155349849811184,102.230385595479,100.002316893284,179.999882503008,0.947028082708781,0.989698088039235,-102.114567564897,0.000209407300903703,4.86485662591062,7.82413392333344e-06,-6.36691130436903e-05,-0.999985747749556,0,0,0
-2.72757590705106,2.72802856721464,-7.99265136286807e-06,33.8566446306,0.155349827742763,102.230385649595,100.002377630501,179.999879711525,0.947029502142435,0.989698370272744,-102.114567556344,0.000214382381248136,4.86485794241484,7.83163443003653e-06,-6.36727194280811e-05,-0.999986626277892,0,0,0
-2.72757659727905,2.72802732008664,-7.92323289841908e-06,33.8566857568169,0.155349805674324,102.230385703697,100.00243836774,179.999876922446,0.94703092157819,0.989698652506328,-102.114567551768,0.000219353175070863,4.86485917513816,7.83915627932664e-06,-6.36763427563926e-05,-0.999987505809824,0,0,0
-2.72757724043794,2.72802607410155,-7.85336084025704e-06,33.8567268830192,0.155349783605743,102.230385757703,100.002499104921,179.999874135774,0.94703234101602,0.989698934739982,-102.114567551093,0.000224319681294665,4.86486032396872,7.84672944928316e-06,-6.36799786832246e-05,-0.999988386682654,0,0,0
-2.72757783644951,2.72802483041878,-7.7831062683969e-06,33.8567680091521,0.155349761536899,102.230385811532,100.002559841962,179.999871351508,0.947033760455902,0.989699216973701,-102.114567554244,0.000229281898582564,4.86486138876324,7.85438269801939e-06,-6.36836229178065e-05,-0.999989269218271,0,0,0
-2.72757838521879,2.7280235901495,-7.71253964184513e-06,33.8568091351601,0.155349739467664,102.230385865102,100.002620578781,179.99986856965,0.94703517989781,0.989699499207481,-102.114567561147,0.000234239824820292,4.86486236934852,7.86214355450094e-06,-6.36872712286137e-05,-0.999990153723112,0,0,0
-2.72757888663482,2.72802235435637,-7.64173071164824e-06,33.8568502609875,0.155349717397914,102.230385918329,100.002681315297,179.999865790201,0.947036599341721,0.989699781441316,-102.114567571728,0.000239193458055011,4.86486326552288,7.87003831209396e-06,-6.36909194483303e-05,-0.999991040488146,0,0,0
-2.72757934057155,2.72802112405323,-7.57074843645053e-06,33.856891386578,0.155349695327521,102.23038597113,100.002742051427,179.999863013162,0.94703801878761,0.989700063675202,-102.114567585915,0.000244142795443874,4.86486407705763,7.87809202519696e-06,-6.36945634781519e-05,-0.999991929788895,0,0,0
-2.7275797468886,2.72801990020507,-7.49966090061196e-06,33.8569325118746,0.155349673256357,102.230386023419,100.002802787085,179.999860238534,0.94703943823545,0.989700345909134,-102.114567603633,0.000249087834021702,4.86486480369857,7.88632850774135e-06,-6.36981992923101e-05,-0.999992821885479,0,0,0
-2.72758010543213,2.72801868372795,-7.4285352349399e-06,33.8569736368199,0.155349651184292,102.230386075111,100.002863522188,179.999857466321,0.947040857685219,0.989700628143107,-102.114567624812,0.000254028570385531,4.86486544516744,7.89477033487551e-06,-6.37018229422139e-05,-0.999993717022695,0,0,0
-2.72758041603561,2.72801747548912,-7.35743754007164e-06,33.8570147613563,0.155349629111196,102.230386126121,100.00292425665,179.999854696524,0.947042277136891,0.989700910377115,-102.114567649378,0.000258965000747211,4.86486600116335,7.90343884647914e-06,-6.37054305605433e-05,-0.999994615430119,0,0,0
-2.72758067852068,2.72801627630715,-7.2864328125613e-06,33.8570558854252,0.155349607036936,102.23038617636,100.002984990384,179.999851929146,0.94704369659044,0.989701192611155,-102.11456767726,0.000263897120809898,4.86486647136428,7.9123541529229e-06,-6.37090183649734e-05,-0.99999551732223,0,0,0
-2.72758089269792,2.72801508695223,-7.21558487369305e-06,33.857097008968,0.155349584961381,102.230386225741,100.003045723305,179.999849164188,0.947045116045843,0.98970147484522,-102.114567708387,0.000268824926556804,4.86486685542845,7.92153514365811e-06,-6.37125826620674e-05,-0.999996422898569,0,0,0
-2.72758105836764,2.72801390814648,-7.14495630107169e-06,33.8571381319254,0.155349562884395,102.230386274176,100.003106455324,179.999846401654,0.947046535503073,0.989701757079306,-102.114567742688,0.000273748412687176,4.8648671529958,7.93099949663675e-06,-6.37161198504951e-05,-0.999997332343909,0,0,0
-2.7275811753207,2.72801274056438,-7.07460836300786e-06,33.8571792542376,0.155349540805844,102.230386321576,100.003167186354,179.999843641547,0.947047954962106,0.989702039313408,-102.114567780091,0.000278667574322653,4.86486736368933,7.9407636910306e-06,-6.37196264246661e-05,-0.999998245828457,0,0,0
-2.72758124333925,2.72801158483328,-7.00460095573474e-06,33.8572203758446,0.155349518725593,102.230386367851,100.003227916305,179.999840883868,0.947049374422916,0.989702321547521,-102.114567820524,0.000283582406179472,4.8648674871165,7.95084302114984e-06,-6.3723098977733e-05,-0.999999163508072,0,0,0
-2.7275812621975,2.72801044153397,-6.93499254347982e-06,33.8572614966857,0.155349496643504,102.230386412911,100.003288645089,179.999838128623,0.947050793885478,0.989702603781639,-102.114567863918,0.000288492902108792,4.86486752287061,7.96125161191513e-06,-6.37265342045918e-05,-1.0000000855245,0,0,0
-2.72758123166246,2.72800931120127,-6.86584010140661e-06,33.8573026166999,0.15534947455944,102.230386456664,100.003349372614,179.999835375814,0.947052213349765,0.989702886015758,-102.114567910201,0.000293399056637649,4.86486747053209,7.97200243645197e-06,-6.37299289046352e-05,-1.00000101200564,0,0,0
-2.72758115149469,2.72800819432484,-6.79719906145134e-06,33.8573437358258,0.155349452473261,102.23038649902,100.00341009879,179.999832625444,0.947053632815752,0.989703168249873,-102.114567959301,0.000298300863068783,4.86486732966986,7.98310733510779e-06,-6.37332799844891e-05,-1.00000194306579,0,0,0
-2.72758102144901,2.72800709134984,-6.72912326107004e-06,33.8573848540017,0.155349430384828,102.230386539886,100.003470823527,179.999829877517,0.947055052283415,0.989703450483978,-102.114568011148,0.000303198315213619,4.86486709984254,7.99457703580704e-06,-6.37365844603058e-05,-1.00000287880599,0,0,0
-2.72758084127521,2.7280060026778,-6.66166489489862e-06,33.8574259711651,0.155349408294001,102.230386579169,100.003531546731,179.999827132038,0.947056471752724,0.989703732718068,-102.11456806567,0.000308091406228241,4.86486678059977,8.00642117619027e-06,-6.37398394602311e-05,-1.00000381931427,0,0,0
-2.72758061071869,2.72800492866751,-6.5948744693441e-06,33.8574670872538,0.155349386200638,102.230386616776,100.003592268311,179.999824389009,0.947057891223657,0.989704014952138,-102.114568122796,0.000312980128905779,4.8648663714834,8.01864832639153e-06,-6.3743042226334e-05,-1.00000476466599,0,0,0
-2.72758032952121,2.72800386963591,-6.52880076010813e-06,33.8575082022046,0.155349364104597,102.230386652613,100.003652988175,179.999821648436,0.947059310696185,0.989704297186183,-102.114568182453,0.000317864476336807,4.86486587202868,8.03126601351526e-06,-6.37461901165434e-05,-1.0000057149242,0,0,0
-2.72757999742147,2.7280028258591,-6.46349077264485e-06,33.8575493159544,0.155349342005735,102.230386686586,100.003713706227,179.999818910321,0.947060730170283,0.989704579420198,-102.11456824457,0.000322744441123812,4.86486528176544,8.04428074733576e-06,-6.37492806064022e-05,-1.00000667013992,0,0,0
