ub_dot,vb_dot,wb_dot,pb_dot,qb_dot,rb_dot,latitude_dot,longitude_dot,altitude_dot,phi_dot,theta_dot,psi_dot
3.57271051870204e-05,2.31188684046259e-05,-0.000503858564386951,3.90742666129447e-07,9.8189773649685e-06,2.84342199931803e-07,-8.24562871518077e-06,1.01074129909178e-11,-8.21082353403176,9.62814708552814e-06,-9.30594433987703e-06,-9.60987643356718e-06
3.73370659887701e-05,2.43568656236738e-05,-0.000526201980950847,4.29419669967855e-07,1.07617557183802e-05,3.20397201095484e-07,-8.24562872188689e-06,1.06257383763085e-11,-8.21082895593131,9.63019798330521e-06,-9.25450088087987e-06,-9.60836516099442e-06
3.88706112782535e-05,2.55613416990383e-05,-0.000547409691693556,4.68027365703282e-07,1.17257387532628e-05,3.5804760283282e-07,-8.24562872907465e-06,1.11436154362336e-11,-8.21083422257536,9.63244218087028e-06,-9.19828940550328e-06,-9.60666953143594e-06
4.03276965010928e-05,2.67311151884262e-05,-0.000567483506229877,5.06351630745501e-07,1.27082524817025e-05,3.97200724192168e-07,-8.24562873673522e-06,1.16610451624757e-11,-8.21083933548625,9.63487878984291e-06,-9.13721060264294e-06,-9.60478179803367e-06
4.17083646851093e-05,2.78650784121381e-05,-0.000586427367223602,5.44193563396936e-07,1.37066881474282e-05,4.37764295621321e-07,-8.24562874485996e-06,1.21780284912964e-11,-8.21084429609204,9.63750588939541e-06,-9.07117836913208e-06,-9.60269467646603e-06
4.30127430530416e-05,2.89621972815643e-05,-0.000604247261851685,5.81369176865558e-07,1.47185048158961e-05,4.79646548153671e-07,-8.24562875344042e-06,1.26945663110936e-11,-8.2108491057273,9.64032060160897e-06,-9.00011947701034e-06,-9.60040134266735e-06
4.42410396026417e-05,3.00215110458474e-05,-0.000620951132756617,6.17709087372303e-07,1.57412317337923e-05,5.22756307888014e-07,-8.24562876246831e-06,1.3210659461034e-11,-8.21085376563406,9.64331916527757e-06,-8.92397322842871e-06,-9.59789543008213e-06
4.53935396883224e-05,3.10421319621821e-05,-0.000636548788436618,6.53058161156961e-07,1.6772470462533e-05,5.67003090078449e-07,-8.2456287719355e-06,1.37263087299583e-11,-8.2108582769629,9.64649700802817e-06,-8.84269109929969e-06,-9.59517102645829e-06
4.64706025379527e-05,3.20232448834188e-05,-0.000651051813744703,6.87275174266797e-07,1.78098967957015e-05,6.12297179374234e-07,-8.24562878183404e-06,1.42415148555743e-11,-8.21086264077418,9.64984881674742e-06,-8.75623637285262e-06,-9.59222267019369e-06
4.74726577932913e-05,3.29641067842602e-05,-0.000664473479937456,7.20232457254261e-07,1.88512624573345e-05,6.58549716800208e-07,-8.24562879215611e-06,1.47562785239572e-11,-8.21086685803938,9.65336860623016e-06,-8.66458376414525e-06,-9.58904534627308e-06
4.84002020256295e-05,3.38640462023184e-05,-0.000676828655116317,7.51815502332045e-07,1.9894396582888e-05,7.05672781023634e-07,-8.24562880289406e-06,1.52706003647412e-11,-8.21087092964262,9.65704978598937e-06,-8.56771903660869e-06,-9.5856344817758e-06
4.92537952632188e-05,3.47224626142994e-05,-0.000688133714866558,7.81922596342883e-07,2.0937207005469e-05,7.53579464090398e-07,-8.24562881404038e-06,1.57844809651954e-11,-8.2108748563822,9.66088522513764e-06,-8.46563861170032e-06,-9.58198594100338e-06
