ub,vb,wb,pb,qb,rb,latitude,longitude,altitude,phi,theta,psi
172.348971246004,-2.89616249620084e-05,8.21237155770843,9.61719821070958e-06,-9.61719821026483e-06,-9.61701323237517e-06,0.660221874376677,-1.31761994177534,1500,9.61710572198711e-06,9.61710572198711e-06,3.14159311203186
172.348971252887,-2.89577375900751e-05,8.21237146062405,9.61718921870179e-06,-9.61672635341045e-06,-9.61701948188314e-06,0.660221833148533,-1.31761994177533,1499.95894640915,9.66519122828644e-06,9.56902087961935e-06,3.14159306394632
172.348971273333,-2.89460904910151e-05,8.2123711720485,9.61718112196813e-06,-9.61507674180874e-06,-9.61702804646969e-06,0.66022179192039,-1.31761994177531,1499.91789277784,9.71327668302598e-06,9.52094120107371e-06,3.14159301586073
172.34897130703,-2.89267133987346e-05,8.21237069613142,9.61720073002218e-06,-9.61190823847385e-06,-9.61702391327705e-06,0.660221750692246,-1.3176199417753,1499.876839107,9.76136215869557e-06,9.47287343458406e-06,3.14159296777512
172.348971353658,-2.88996474501994e-05,8.2123700372292,9.61727247704535e-06,-9.60689556956202e-06,-9.61699249249432e-06,0.660221709464103,-1.31761994177528,1499.8357853976,9.80944785585827e-06,9.42482599442312e-06,3.14159291968959
172.348971412889,-2.88649448612648e-05,8.21236919988864,9.61741850899524e-06,-9.59972935512467e-06,-9.61691962453188e-06,0.66022166823596,-1.31761994177526,1499.79473165054,9.8575340914913e-06,9.37680888149658e-06,3.14159287160431
172.348971484388,-2.8822668596032e-05,8.21236818883099,9.61765877087496e-06,-9.59011610780564e-06,-9.6167915865229e-06,0.660221627007816,-1.31761994177524,1499.75367786674,9.905621287763e-06,9.32883360386402e-06,3.14159282351953
172.34897156781,-2.87728920302719e-05,8.21236700893606,9.61801109397766e-06,-9.57777820081444e-06,-9.61659509813642e-06,0.660221585779673,-1.31761994177521,1499.71262404711,9.95370996124614e-06,9.28091309734376e-06,3.14159277543556
172.348971662807,-2.87156986094285e-05,8.21236566522684,9.61849128304495e-06,-9.56245380628846e-06,-9.61631732673911e-06,0.66022154455153,-1.31761994177518,1499.67157019252,1.00018007125672e-05,9.23306164635229e-06,3.14159272735276
172.348971769024,-2.8651181501717e-05,8.21236416285428,9.61911320317871e-06,-9.5438968053663e-06,-9.61594589188977e-06,0.660221503323386,-1.31761994177515,1499.63051630384,1.00498942164911e-05,9.18529480512319e-06,3.14159267927158
